178, -385
448, 829
-619, -56
465, 124
-761, 34
1071, 444
-1146, -388
565, -252
-465, 459
-700, -139
239, -342
191, 924
-296, -221
25, 151
-497, 10
1022, 422
-1072, -466
539, -235
-426, 434
-690, -198
161, -83
70, -262
-383, 1026
72, -731
309, 323
-976, -618
853, 498
-615, 59
369, -577
846, 172
-324, -95
-236, 97
393, -1052
-64, 926
-343, -364
798, 706
-884, -549
576, -192
-525, 442
-601, -275
118, -88
99, -237
-458, 1023
130, -748
240, 333
-818, -766
769, 529
-565, 7
426, -491
780, 318
-359, -120
-206, 63
510, -985
-201, 911
-243, -448
626, 899
-792, -810
474, -66
-575, 322
-552, -294
88, -36
145, -225
-625, 967
187, -809
197, 455
-709, -907
651, 685
-640, -76
537, -478
800, 296
-507, 146
245, -959
175, 763
-185, -510
361, 160
-652, -952
673, 745
-604, -117
565, -353
679, 310
-457, 141
168, -955
206, 713
-76, -337
343, 206
-509, -997
458, 779
-543, -123
581, -321
636, 465
-279, -140
-213, 18
768, -725
-495, 795
-119, -548
239, 1009
-441, -1014
367, 77
-608, 201
-433, -460
97, 7
129, -201
-870, 775
542, -849
-101, 548
-257, -1189
424, 896
-460, -244
552, -209
661, 470
-535, 115
411, -993
-229, 616
162, -254
210, 185
-317, -1081
322, 858
-452, -218
562, -212
690, 483
-535, 69
428, -936
-22, 828
61, -422
217, 306
-303, -1256
317, 897
-491, -239
642, -211
392, 656
-214, -200
-261, -16
956, -597
-492, 733
-180, -595
16, 1208
-131, -1070
312, 117
-622, 98
-427, -493
319, -146
-597, 930
156, -486
-344, 416
-174, -345
-23, 1066
-3, -1125
299, 209
-676, 50
-184, -538
83, 51
151, -124
-1083, 391
466, -479
-81, 418
79, -1246
102, 1011
-404, -334
596, -105
456, 583
-565, -7
708, -878
-179, 769
3, -447
154, 371
-42, -1180
105, 1061
-411, -396
619, -30
250, 739
-226, -223
-242, -101
1043, -304
-784, 528
45, -609
-198, 1180
32, -1197
307, 248
-667, 15
-91, -639
55, 80
126, -69
-1172, 320
661, -538
-162, 464
196, -1283
-9, 1088
-326, -439
594, 80
254, 715
-444, -150
836, -667
-341, 668
54, -556
97, 635
148, -1234
-175, 1091
-393, -467
623, 11
176, 884
-504, -218
817, -705
-483, 740
129, -535
113, 495
308, -1157
-145, 999
-295, -490
500, 162
134, 693
-487, -220
849, -518
-238, 643
77, -516
80, 540
373, -1143
-313, 1019
-234, -465
504, 143
54, 806
-150, -262
-209, -188
1070, 52
-838, 194
234, -463
-533, 1056
469, -1187
80, 372
-523, -312
137, -624
-21, 72
137, 24
-1173, -34
919, -160
-421, 272
598, -1086
-366, 1039
-196, -562
528, 242
-123, 880
-359, -367
937, -353
-277, 576
142, -463
7, 493
472, -1124
-387, 969
-212, -616
479, 248
-161, 851
-355, -400
986, -277
-453, 512
149, -361
-59, 474
566, -964
-492, 864
-178, -556
475, 232
-149, 754
-411, -390
1016, -254
-536, 475
232, -329
-83, 462
683, -916
-491, 737
-104, -498
400, 316
-266, 810
-352, -414
1002, -133
-565, 350
145, -294
-88, 426
761, -903
-526, 821
-212, -546
510, 290
-341, 894
-39, -380
-167, -170
890, 367
-973, -72
523, -356
-854, 706
1015, -741
-157, 446
-386, -538
270, -697
166, 214
-1098, -6
239, -107
-303, 81
202, -434
-935, 606
936, -596
-117, 352
-396, -475
278, -601
149, 263
-1121, -92
690, -117
-625, -47
153, -440
-942, 516
933, -620
-56, 317
-388, -471
406, -517
-91, 85
34, 112
-881, -594
777, 198
-723, 171
1206, -641
-894, 707
-13, -596
326, 454
-440, 800
-271, -544
1077, 136
-797, 95
363, 59
-228, 250
933, -613
-871, 628
52, -567
313, 453
-558, 737
24, -386
-127, -195
646, 645
-771, -257
552, -289
-1201, 380
1076, -419
-218, 280
-267, -488
478, -388
-96, 70
-46, 122
-678, -734
749, 252
-617, 90
1282, -438
-998, 470
139, -517
118, 481
-608, 647
32, -313
-110, -220
648, 740
-751, -404
670, -190
-1251, 207
1190, -334
-320, 273
-166, -552
582, -341
-120, 45
-68, 86
-473, -811
659, 465
-587, 34
1308, -324
-925, 416
189, -497
83, 563
-553, 519
-120, -503
911, 392
-773, -96
427, 15
-484, 237
1339, -328
-1032, 368
176, -484
89, 523
-659, 437
85, -288
-42, -222
328, 791
-483, -391
462, -223
-1197, 133
1188, -148
-316, 233
-78, -549
652, -408
-97, 296
-924, -541
700, -202
-745, 27
634, -388
-1304, 156
1337, -85
-419, 276
-84, -631
668, -221
-198, 33
-78, 89
-314, -1006
531, 581
-592, -70
1348, -37
-1081, 105
306, -447
-62, 543
-746, 382
-44, -463
644, 576
-689, 192
613, -114
-635, 183
1479, -37
-1063, 189
305, -494
-49, 618
-793, 267
97, -200
40, -210
24, 951
-321, -500
396, -85
-1266, -109
1303, 60
-462, 147
121, -616
734, -220
-209, 245
-647, -748
561, -15
-507, -229
642, -265
-1235, -67
1196, 134
-552, 163
